Segment,StartPoint,EndPoint
1,0,170.168
2,170.169,258.910
3,258.911,329.823
4,329.824,538.518
5,538.519,611.521
6,611.522,840.949
7,840.950,944.204
8,944.205,1043.001
9,1043.002,1250.047
10,1250.048,1417.481
11,1417.482,1465.923
12,1465.924,1747.374
13,1747.375,1806.694
14,1806.695,2123.513
15,2123.514,2241.887
16,2241.888,2526.033
17,2526.034,2702.284
18,2702.285,3177.454
19,3177.455,3264.398
20,3264.399,3417.828
21,3417.829,3428.825
22,3428.826,4016.291
23,4016.292,4073.562
24,4073.563,4146.395
25,4146.396,4265.361
26,4265.362,4442.165
27,4442.166,4530.376
