Segment,StartPoint ,EndPoint
1,0.000,51.425
2,51.426,170.168
3,170.169,329.823
4,329.824,538.518
5,538.519,611.521
6,611.522,720.520
7,720.521,862.872
8,862.873,1224.492
9,1224.493,1372.998
10,1372.999,1456.516
11,1456.517,1524.076
12,1524.077,1598.690
13,1598.691,1747.374
14,1747.375,2156.413
15,2156.414,2907.675
16,2907.676,3264.398
17,3264.399,3485.887
18,3485.888,3694.748
19,3694.749,3881.895
20,3881.896,4103.725
21,4103.726,4204.150
22,4204.151,4442.165
23,4442.166,4530.376
