Segment,StartPoint,EndPoint
1,0.000,111.114
2,111.115,329.823
3,329.824,363.235
4,363.236,436.435
5,436.436,611.521
6,611.522,704.704
7,704.705,753.907
8,753.908,813.627
9,813.628,882.155
10,882.156,1065.724
11,1065.725,1224.492
12,1224.493,1372.998
13,1372.999,1507.571
14,1507.572,1598.690
15,1598.691,1687.384
16,1687.385,1747.374
17,1747.375,1759.906
18,1759.907,1950.703
19,1950.704,2031.256
20,2031.257,2061.947
21,2061.948,2156.413
22,2156.414,2274.572
23,2274.573,2493.191
24,2493.192,3225.800
25,3225.801,3264.398
26,3264.399,3583.756
27,3583.757,3694.748
28,3694.749,3839.345
29,3839.346,3948.362
30,3948.363,4103.725
31,4103.726,4530.376
