Segment,StartPoint,EndPoint
1,0.000,329.823
2,329.824,363.235
3,363.236,417.728
4,417.729,611.521
5,611.522,704.704
6,704.705,753.907
7,753.908,813.627
8,813.628,882.155
9,882.156,1065.724
10,1065.725,1224.492
11,1224.493,1372.998
12,1372.999,1507.571
13,1507.572,1598.690
14,1598.691,1687.384
15,1687.385,1747.374
16,1747.375,1759.906
17,1759.907,1950.703
18,1950.704,2031.256
19,2031.257,2061.947
20,2061.948,2156.413
21,2156.414,2274.572
22,2274.573,2493.191
23,2493.192,2907.675
24,2907.676,3225.800
25,3225.801,3264.398
26,3264.399,3583.756
27,3583.757,3694.748
28,3694.749,3839.345
29,3839.346,3948.362
30,3948.363,4103.725
31,4103.726,4530.376
