Segment,StartPoint,EndPoint
1,0.000,87.062
2,87.063,417.728
3,417.729,720.520
4,720.521,753.907
5,753.908,840.949
6,840.950,1224.492
7,1224.493,1372.998
8,1372.999,1507.571
9,1507.572,1614.154
10,1614.155,1747.374
11,1747.375,1822.178
12,1822.179,1950.703
13,1950.704,2241.887
14,2241.888,2493.191
15,2493.192,2526.033
16,2526.034,2702.284
17,2702.285,2885.008
18,2885.009,3417.828
19,3417.829,3594.820
20,3594.821,3627.065
21,3627.066,3881.895
22,3881.896,3933.767
23,3933.768,4146.395
24,4146.396,4530.376
