Segment,StartPoint,EndPoint
1,0.000,111.114
2,111.115,198.667
3,198.668,329.823
4,329.824,363.235
5,363.236,504.878
6,504.879,704.704
7,704.705,882.155
8,882.156,1008.953
9,1008.954,1372.998
10,1372.999,1403.852
11,1403.853,1465.923
12,1465.924,1598.690
13,1598.691,1759.906
14,1759.907,2156.413
15,2156.414,2304.464
16,2304.465,2385.038
17,2385.039,2907.675
18,2907.676,3417.828
19,3417.829,3485.887
20,3485.888,3556.449
21,3556.450,3694.748
22,3694.749,3906.632
23,3906.633,4103.725
24,4103.726,4265.361
25,4265.362,4442.165
26,4442.166,4530.376
