Segment,StartPoint,EndPoint
1,0.000,51.425
2,51.426,258.910
3,258.911,363.235
4,363.236,504.878
5,504.879,737.904
6,737.905,1224.492
7,1224.493,1372.998
8,1372.999,1687.384
9,1687.385,1950.703
10,1950.704,2385.038
11,2385.039,2437.523
12,2437.524,2526.033
13,2526.034,2702.284
14,2702.285,2907.675
15,2907.676,3177.454
16,3177.455,3331.065
17,3331.066,3485.887
18,3485.888,3508.183
19,3508.184,3594.820
20,3594.821,3627.065
21,3627.066,4073.562
22,4073.563,4442.165
23,4442.166,4530.376
