Segment,StartPoint,EndPoint
1,0.000,51.425
2,51.426,87.062
3,87.063,111.114
4,111.115,170.168
5,170.169,198.667
6,198.668,258.910
7,258.911,329.823
8,329.824,363.235
9,363.236,417.728
10,417.729,436.435
11,436.436,504.878
12,504.879,538.518
13,538.519,552.741
14,552.742,611.521
15,611.522,662.651
16,662.652,704.704
17,704.705,720.520
18,720.521,737.904
19,737.905,753.907
20,753.908,813.627
21,813.628,840.949
22,840.950,862.872
23,862.873,882.155
24,882.156,944.204
25,944.205,1008.953
26,1008.954,1043.001
27,1043.002,1065.724
28,1065.725,1103.161
29,1103.162,1224.492
30,1224.493,1250.047
31,1250.048,1372.998
32,1372.999,1403.852
33,1403.853,1417.481
34,1417.482,1438.431
35,1438.432,1456.516
36,1456.517,1465.923
37,1465.924,1507.571
38,1507.572,1524.076
39,1524.077,1598.690
40,1598.691,1614.154
41,1614.155,1687.384
42,1687.385,1747.374
43,1747.375,1759.906
44,1759.907,1785.696
45,1785.697,1806.694
46,1806.695,1822.178
47,1822.179,1950.703
48,1950.704,2031.256
49,2031.257,2061.947
50,2061.948,2110.285
51,2110.286,2123.513
52,2123.514,2156.413
53,2156.414,2241.887
54,2241.888,2274.572
55,2274.573,2304.464
56,2304.465,2348.941
57,2348.942,2385.038
58,2385.039,2437.523
59,2437.524,2493.191
60,2493.192,2526.033
61,2526.034,2660.939
62,2660.940,2702.284
63,2702.285,2885.008
64,2885.009,2907.675
65,2907.676,2931.597
66,2931.598,3177.454
67,3177.455,3225.800
68,3225.801,3264.398
69,3264.399,3331.065
70,3331.066,3417.828
71,3417.829,3428.825
72,3428.826,3485.887
73,3485.888,3508.183
74,3508.184,3533.174
75,3533.175,3556.449
76,3556.450,3583.756
77,3583.757,3594.820
78,3594.821,3627.065
79,3627.066,3694.748
80,3694.749,3839.345
81,3839.346,3881.895
82,3881.896,3906.632
83,3906.633,3933.767
84,3933.768,3948.362
85,3948.363,4016.291
86,4016.292,4073.562
87,4073.563,4103.725
88,4103.726,4146.395
89,4146.396,4204.150
90,4204.151,4265.361
91,4265.362,4442.165
92,4442.166,4530.376
