Segment,StartPoint,EndPoint
1,0.000,51.425
2,51.426,170.168
3,170.169,329.823
4,329.824,538.518
5,538.519,611.521
6,611.522,704.704
7,704.705,882.155
8,882.156,1043.001
9,1043.002,1224.492
10,1224.493,1456.516
11,1456.517,1524.076
12,1524.077,1598.690
13,1598.691,1747.374
14,1747.375,1950.703
15,1950.704,2156.413
16,2156.414,2304.464
17,2304.465,2385.038
18,2385.039,2907.675
19,2907.676,3264.398
20,3264.399,3331.065
21,3331.066,3417.828
22,3417.829,3485.887
23,3485.888,3694.748
24,3694.749,3881.895
25,3881.896,4103.725
26,4103.726,4204.150
27,4204.151,4442.165
28,4442.166,4530.376
