Segment,StartPoint,EndPoint
1,0.000,329.823
2,329.824,417.728
3,417.729,611.521
4,611.522,704.704
5,704.705,737.904
6,737.905,882.155
7,882.156,1043.001
8,1043.002,1403.852
9,1403.853,1456.516
10,1456.517,1507.571
11,1507.572,1598.690
12,1598.691,1614.154
13,1614.155,1687.384
14,1687.385,1759.906
15,1759.907,2110.285
16,2110.286,2123.513
17,2123.514,2156.413
18,2156.414,2348.941
19,2348.942,3417.828
20,3417.829,3428.825
21,3428.826,3485.887
22,3485.888,3508.183
23,3508.184,3583.756
24,3583.757,3594.820
25,3594.821,3627.065
26,3627.066,4103.725
27,4103.726,4530.376
